districtId,alpha_95PR,average_age,average_household_size,inhib_coef_april_01_14,mean_alpha_Mar_25_31,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,ruralness_index,socio_economic_status_index,cluster,total_population,population_60_plus,share_60_plus
3353,1.353333333333333,43.5,2.3,-0.014948772179512007,1.0190024744184332,Harburg,3.2,21.2,5.0,454.0,2632.0,21.603333333333303,78.9,83.4,2103.7,80.8,1190.5,705.0,8.8,197.0,47.3,30.5,29.9,50.1,93.1666666666667,0.8123613258166806,1.1843144392929001,2.0,238442.0,29418.0,0.123375915316932
3354,1.2250000000000003,46.2,2.3,-0.07608058608058607,0.9057236642639067,Lüchow-Dannenberg,6.1,48.6,10.6,71.0,2485.0,59.465,76.2,80.0,1959.7,89.1,491.0,489.0,4.3,40.0,69.8,22.6,31.0,56.2,94.5,2.7819248284376097,-2.681415786285952,0.0,49205.0,7271.0,0.14776953561629902
3355,1.215,41.8,2.2,-0.0116426625166966,0.9530694885779405,Lüneburg,4.0,24.9,6.6,207.0,2728.0,18.945,77.6,82.7,2165.7,84.1,1175.4,582.0,7.4,135.0,66.2,48.1,36.5,46.8,92.2727272727273,1.0513852400435901,0.1861758417950463,4.0,174123.0,18844.0,0.108222348569689
3356,1.5166666666666657,43.8,2.3,0.015676077121370955,1.1398522810475968,Osterholz,5.0,27.2,4.6,358.0,2580.0,19.154166666666697,77.7,82.0,1985.7,80.1,1112.0,577.0,5.0,171.0,53.8,19.0,33.5,50.1,94.74285714285709,0.9281811583349076,-0.4223774782298194,4.0,110907.0,13815.0,0.124563823744218
3357,1.4666666666666661,42.1,2.4,0.0037289489656549863,1.0,Rotenburg (Wümme),4.9,29.2,4.6,214.0,2689.0,40.185,77.7,82.7,2086.2,87.2,718.4,589.0,0.9,78.0,55.0,61.0,28.1,51.5,95.22307692307692,2.017527825296141,-0.34576147704386695,4.0,162726.0,18540.0,0.11393385199660801
3358,1.1428571428571428,43.4,2.3,-0.005884152694702827,,Heidekreis,6.5,41.2,7.0,173.0,2757.0,39.6091666666667,77.4,82.5,2168.7,74.9,768.4,563.0,2.6,73.0,49.9,36.1,32.2,50.4,92.4384615384616,1.5481074437952418,-0.8962152295595031,4.0,136693.0,16673.0,0.12197405865699
3359,1.4199999999999988,42.4,2.3,-0.008596498822979652,1.0065157606758028,Stade,4.8,27.7,6.4,329.0,2954.0,74.65,78.0,82.4,2256.7,79.8,1275.6,650.0,4.8,156.0,48.6,46.1,29.8,48.1,93.7545454545455,2.244304148789552,0.2984540638956908,4.0,195450.0,22836.0,0.116838066001535
3360,1.0,45.2,2.2,,,Uelzen,4.0,46.4,7.4,127.0,2586.0,33.9,76.7,81.1,2018.3,86.5,721.4,569.0,3.6,64.0,61.6,86.9,42.1,52.8,92.6166666666667,1.8107422497819134,-1.4056815767974031,4.0,93595.0,12442.0,0.13293445162668902
3361,1.4647058823529406,43.0,2.3,-0.03250797040828854,1.0660961639821642,Verden,4.2,27.2,5.7,264.0,2801.0,24.0433333333333,78.7,82.5,2318.0,82.0,1119.5,755.0,3.9,169.0,60.8,19.7,34.7,50.7,92.9625,1.1208924915494003,0.7126725969289635,4.0,132300.0,15957.0,0.120612244897959
3401,1.6916666666666664,43.6,2.1,,,"Delmenhorst, Stadt",4.4,31.2,10.6,513.0,2724.0,10.1916666666667,77.3,82.2,1879.8,48.0,2486.2,506.0,7.0,1200.0,52.1,63.6,22.2,45.5,88.0,-1.3133552141697684,-1.0216821338633406,3.0,73322.0,9225.0,0.125814898666158
3403,1.5499999999999996,41.8,2.0,-0.01444088036863167,1.0040325198112587,KS Oldenburg (Oldenburg),5.0,15.6,8.5,369.0,2960.0,1.77583333333333,78.3,82.9,2362.0,36.0,2612.1,708.0,6.2,1562.0,62.8,104.5,31.2,47.9,83.8,-1.9689643961916694,0.7545682253542271,3.0,157267.0,16221.0,0.10314306243522199
3404,1.5437499999999993,42.3,2.0,-0.011335169918677694,1.0046443625966024,KS Osnabrück,4.8,29.1,8.3,449.0,3048.0,1.4133333333333302,77.9,82.7,2321.5,48.0,2634.5,750.0,6.4,1310.0,72.7,126.5,32.4,45.2,70.1,-2.303132438837809,0.5673443530919583,3.0,153699.0,16043.0,0.104379338837598
3451,1.4299999999999997,43.0,2.3,0.0005489624967596062,1.1276230061035595,Ammerland,3.3,19.8,4.8,242.0,2652.0,18.915833333333303,78.6,83.3,2186.4,79.6,963.0,615.0,8.0,165.0,59.2,67.6,29.8,52.2,95.1333333333333,1.1090704459388472,0.999892428156931,2.0,117912.0,14404.0,0.12215889816134101
3452,1.5513888888888872,43.0,2.3,-0.005906442484080639,1.1214482435972881,Aurich,8.4,26.0,7.9,149.0,2573.0,59.118333333333304,76.5,81.5,1921.1,78.4,994.9,714.0,4.9,146.0,62.2,36.8,18.1,51.9,92.8066666666667,2.077945317191218,-1.4796820074046806,4.0,187135.0,22950.0,0.122638736740856
3453,1.3333333333333333,39.1,2.8,0.009257760621720386,1.0532110516179811,Cloppenburg,5.2,17.8,5.7,191.0,2512.0,35.01,77.2,83.0,2008.2,82.3,822.0,586.0,4.9,115.0,51.1,30.5,23.2,48.2,96.2076923076923,1.7598465832377557,-0.3293905600534034,4.0,159337.0,14381.0,0.09025524517218199
3454,1.3530852994555351,40.9,2.6,0.0012689408951180934,1.0406194911186228,Emsland,4.6,17.9,3.8,197.0,2828.0,59.6683333333333,78.0,83.0,2176.8,81.5,808.9,654.0,4.5,110.0,51.9,55.1,17.2,50.4,96.3,2.370196387692689,0.6780085672714772,4.0,311089.0,32214.0,0.10355235961413
3455,1.3499999999999979,44.6,2.2,,,Friesland,4.4,41.7,6.4,168.0,2695.0,20.3575,77.8,82.0,2119.7,80.3,972.2,508.0,1.9,160.0,61.9,46.8,31.1,53.3,92.1625,1.1084653537792128,-0.8194649823754782,4.0,98229.0,13430.0,0.136721334840017
3456,1.2825641025641024,41.8,2.5,-0.002585054338980266,1.0985685125764204,Grafschaft Bentheim,6.2,18.2,4.7,283.0,2686.0,64.9466666666667,78.8,83.2,2023.7,81.6,959.0,571.0,2.7,137.0,59.6,44.6,25.9,49.5,96.37142857142858,2.3549274322682567,0.06448561626583785,4.0,133395.0,14954.0,0.11210315229206501
3457,1.4599999999999993,42.2,2.4,-0.0069475970728516785,1.0800415364847447,Leer,8.0,24.2,7.0,191.0,2622.0,49.8766666666667,77.0,81.5,1922.1,75.9,1015.2,492.0,6.2,153.0,55.5,42.2,23.5,50.7,95.7833333333333,1.8455314000747678,-1.4256139613032102,4.0,163832.0,18996.0,0.11594804433810199
3458,1.3025,42.8,2.4,-0.00876603797019914,1.1890259289780545,Oldenburg (Oldenburg),4.9,21.8,4.9,295.0,2538.0,19.163333333333302,78.6,82.3,2000.3,83.6,838.4,638.0,6.3,119.0,51.3,18.8,34.3,50.1,95.425,1.2497455621745657,0.12400637315593006,4.0,125014.0,14648.0,0.11717087686179099
3459,1.4806818181818182,41.9,2.5,-0.015101970367290505,1.0422510736167792,Osnabrück,4.9,31.0,4.2,304.0,2680.0,24.913333333333302,78.8,83.3,2113.4,82.8,1123.3,631.0,2.2,166.0,62.1,47.7,30.6,47.8,89.7857142857143,0.9903786888430891,0.2807616245130906,4.0,350147.0,37960.0,0.108411609980951
3460,1.7166666666666661,39.1,2.7,-0.007011188397769673,1.1170182829186646,Vechta,5.9,14.5,3.9,215.0,2675.0,34.2366666666667,79.1,83.1,2137.3,80.3,1009.0,792.0,6.1,168.0,47.7,66.1,26.7,49.6,95.71,1.5491576510376355,1.0269954493634172,2.0,132294.0,11731.0,0.08867371158178
3461,1.4900000000000007,43.8,2.2,0.03598471735834372,,Wesermarsch,3.8,36.9,7.5,250.0,3264.0,25.588333333333303,76.7,81.2,2510.6,82.8,920.1,696.0,0.8,108.0,58.6,24.6,35.2,50.0,92.94444444444441,1.2910147068068094,-0.12073448458849256,4.0,90035.0,11381.0,0.12640639751207902
3462,1.2125,43.6,2.3,,,Wittmund,4.7,27.1,7.2,136.0,2483.0,31.6916666666667,76.7,81.3,1894.7,82.6,801.4,557.0,2.9,86.0,60.1,29.0,24.3,52.0,91.1166666666667,1.5319837384332637,-1.4277228184179447,4.0,56839.0,7375.0,0.12975245869913302
4011,1.2988636363636357,43.2,2.0,-0.009702977993336498,0.9721008721579157,KS Bremen,5.9,30.4,10.6,763.0,3331.0,2.12083333333333,77.6,82.7,2651.9,31.8,2878.3,756.0,5.9,1695.0,62.7,73.7,29.7,41.3,77.4,-2.865601943307218,0.6411820413446753,3.0,542707.0,62522.0,0.115203968255431
