districtId,Minijob,Zahnarzt,Krankenhausbetten,Hausarzt_je_EW,Grundsicherung,Soziooekonomische_Lage,Breitband,Baulandpreise,Facharzt,Tanken,Bevoelkerung_Auslaender,Schulabg_Hochschulreife,Wanderungen,GrosseZentren,Nahversorgung,vorschule,Lebenserwartung_maennlich,Wohnflaeche,Lebenserwartung_weiblich,Bevoelkerungspotenzial,Schulabg_ohne,WissensintensiveIndustrien,ALQ_gemittelt,Steuerkraft,BIP,ambulantePflege,SuV_Anteil,stationaerePflege,Schulden,Pflegegeld,BeschaeftigteOhne,ALQ,Laendlichkeit,Einkuenfte,LuW_Anteil,Thuenen-Typologie,SuV_Veraenderung,BeschaeftigteAkademisch,Bevoelkerungsdichte,Apotheke,Pflegedienst,Ein_Zwei_Fam_Haeuser,Polizei,Bevoelkerung_insgesamt,Wohnungsleerstand,Hausarzt,Siedlungsdichte,Freiflaeche,Natuerliche_Bev_Entwicklung,Lohn,Grundschule,Krippenkinder,district_name
3403,20.8,2.8225,104.5,62.8,37.4,,99.3,196,6.19594487028302,4.11916666666667,6.7,46.7,6.2,1.77583333333333,2.94333333333333,96.1,78.3,47.9,82.9,369,5,2.2,8.5,708,41000,31.7,59.8,31.2,410,37.1,10.5,8.4,-0.97,2960,36,5,3.6,15.4,1562,3.4,4.25583333333333,196,4.025,2,15.6,3.20166666666667,2612.1,45.7,-0.93,2362,2.25,36.4,SK Oldenburg
3257,23.7,4.94583333333333,41.2,61.6,22.4,0.26,92.7,,10.1789677178935,5.08916666666667,5.7,43.5,2.8,35.0566666666667,4.65166666666667,96.7,77.6,51.3,82.6,346,3.5,7.6,7.6,550,22400,23.4,18,37.1,1985.1,39.5,11.4,7.1,0.46,2750,79.9,4,,7.5,231,4.92,6.7025,,5.23333333333333,-0.8,57.5,4.45833333333333,1283,83.4,,2127.4,,28.3,LK Schaumburg
3351,21.8,6.10333333333333,36.8,56.8,27,0.17,85.7,53.9,16.4427207581945,7.34833333333333,5.2,25.8,2.6,18.8708333333333,5.87666666666667,96.4,77.4,50.9,82.6,202,5.6,6.3,7.9,615,26800,21.7,11.7,34.5,2688.2,43.8,10.7,7.5,0.67,2984,85.1,1,,10.1,114,6.67166666666667,9.95333333333333,53.9,6.85,0.1,42.8,6.04,977.4,89.2,,2346.2,,27.8,LK Celle
3352,28.4,7.70166666666667,35.7,53.9,16.6,0.52,87.2,45.7,15.9382264532856,8.43,4.7,25.6,2.8,27.8316666666667,7.32,95.1,77.4,51.9,82.1,178,7,3.2,6.3,507,20400,23.6,11.2,30.1,3009.6,46.2,11.9,6.1,0.74,2670,84.5,1,,6.3,96,7.795,11.8816666666667,45.7,8.81666666666667,-0.7,34.8,8.04333333333333,855.8,89.5,,1991.8,,28,LK Cuxhaven
3404,22.3,3.02416666666667,126.5,72.7,53.3,,98.5,195.1,6.14166699286708,3.37333333333333,9.9,43.8,6.4,1.41333333333333,3.10166666666667,99.7,77.9,45.2,82.7,449,4.8,6,8.3,750,45700,26.4,49.7,32.4,1609.5,41.2,12,8.1,-0.96,3048,48,5,1.3,13.8,1310,2.88083333333333,4.64833333333333,195.1,3.51666666666667,1.5,29.1,2.74083333333333,2634.5,55.4,-1.23,2321.5,2.61666666666667,31.6,SK Osnabrück
3353,26.6,5.37833333333333,30.5,47.3,18.2,-0.63,91.4,84.6,12.3585018550732,5.64166666666667,5.4,34.6,8.8,21.6033333333333,4.91666666666667,98.9,78.9,50.1,83.4,454,3.2,3.7,5,705,21100,24.3,16.5,29.9,803.2,45.8,10.3,4.7,0.18,2632,80.8,3,,7.7,197,6.155,7.505,84.6,6.58333333333333,2.5,21.2,5.65333333333333,1190.5,84.7,,2103.7,,31.5,LK Harburg
3355,22,6.42333333333333,48.1,66.2,26.9,-0.26,27.8,82.8,18.4332628865172,8.02,4.5,37.7,7.4,18.945,6.65,98.4,77.6,46.8,82.7,207,4,4.7,6.6,582,23900,24.1,11.4,36.5,2443.2,39.4,11.1,6.3,0.38,2728,84.1,4,,12,135,7.84833333333333,10.945,82.8,7.58333333333333,2,24.9,6.12833333333333,1175.4,89.7,,2165.7,,36.7,LK Lüneburg
3356,28,6.965,19,53.8,15.7,0.18,94.4,69,13.4904353988265,7.96,4.2,34.9,5,19.1541666666667,5.81333333333333,94.3,77.7,50.1,82,358,5,7.9,4.6,577,17800,23.2,15.4,33.5,3039.3,43.4,11.6,4.6,0.56,2580,80.1,1,,7,171,6.84583333333333,8.44166666666667,69,6.86666666666667,0.6,27.2,6.88083333333333,1112,85.6,,1985.7,,28.6,LK Osterholz
3357,25.1,7.86,61,55,16.9,-0.01,89.8,48.8,15.14635643348,9.14666666666667,4.5,29.1,0.9,40.185,6.7,93.4,77.7,51.5,82.7,214,4.9,4.5,4.6,589,28200,22.4,10.9,28.1,937,49.5,11.7,4.4,0.78,2689,87.2,1,,7,78,8.78166666666667,10.445,48.8,8.06666666666667,-0.2,29.2,7.35666666666667,718.4,89.8,,2086.2,,22.8,LK Rotenburg (Wümme)
3358,24.4,7.04833333333333,36.1,49.9,20,0.25,83.9,45.3,13.9672858861522,7.26833333333333,4.9,28,2.6,39.6091666666667,6.21333333333333,96.2,77.4,50.4,82.5,173,6.5,7,7,563,29000,23,9.5,32.2,1565.5,44.9,11.6,6.5,0.62,2757,74.9,1,,6.2,73,7.20333333333333,11.0733333333333,45.3,6.51666666666667,0.1,41.2,6.89,768.4,91.2,,2168.7,,28.7,LK Heidekreis
3359,24.7,6.43333333333333,46.1,48.6,21.6,-0.25,78.1,91.3,16.2418158473572,9.88166666666667,5.8,29.2,4.8,74.65,5.53916666666667,92.8,78,48.1,82.4,329,4.8,6.6,6.4,650,27400,20.5,12.2,29.8,1193.3,49.7,11.8,6,0.31,2954,79.8,4,,8.6,156,6.695,9.05,91.3,7.36666666666667,0.9,27.7,6.1825,1275.6,88.5,,2256.7,,28,LK Stade
3361,21.8,6.08166666666667,19.7,60.8,19.9,-0.36,72.5,93.6,13.0441728072261,7.48,5.2,32.8,3.9,24.0433333333333,5.16166666666667,90.5,78.7,50.7,82.5,264,4.2,9,5.7,755,28200,20.2,15.1,34.7,817.5,45.1,12.6,5.4,0.62,2801,82,2,,8.9,169,6.29833333333333,10.4666666666667,93.6,7.3,1,27.2,5.90333333333333,1119.5,85.9,,2318,,25.5,LK Verden
3401,33.5,3.27833333333333,63.6,52.1,46.2,,98.7,94.2,6.64002800612508,2.9375,9.5,,7,10.1916666666667,3.23,90.1,77.3,45.5,82.2,513,,3,10.6,506,20900,18.2,48.2,22.2,1406.2,59.5,12.2,10.7,,2724,48,1,2,7.4,1200,3.04416666666667,4.60833333333333,94.2,5.725,2,,2.93166666666667,2486.2,55.4,-2.2,1879.8,2.36666666666667,16.8,SK Delmenhorst
3452,24.4,7.12833333333333,36.8,62.2,18.6,0.5,74.4,50.9,15.521841179253,7.36666666666667,3.8,26.4,4.9,59.1183333333333,6.25333333333333,95.2,76.5,51.9,81.5,149,8.4,3.8,7.9,714,22300,25.2,14.7,18.1,1911.8,56.7,11.8,7.8,0.76,2573,78.4,1,,7.7,146,7.11166666666667,9.56166666666667,50.9,7.46666666666667,0.7,26,8.75166666666667,994.9,86.3,,1921.1,,20.6,LK Aurich
3453,24.5,6.56666666666667,30.5,51.1,25,-0.06,77.3,57.9,12.5813829201102,7.62083333333333,7.1,21.4,4.9,35.01,6.04333333333333,85,77.2,48.2,83,191,5.2,9.8,5.7,586,33800,19.5,13.9,23.2,985.5,57.3,14,5.6,0.91,2512,82.3,1,,5.2,115,6.49333333333333,8.175,57.9,6.68333333333333,1.9,17.8,6.62166666666667,822,86.9,,2008.2,,19.7,LK Cloppenburg
3454,24.2,7.12083333333333,55.1,51.9,19.6,-0.48,81.7,44.7,14.5524534023348,8.34166666666667,7.6,27.1,4.5,59.6683333333333,5.68833333333333,96.3,78,50.4,83,197,4.6,8.2,3.8,654,35500,27.7,13.5,17.2,665.2,55,9.8,3.5,0.92,2828,81.5,2,,7.7,110,7.05833333333333,9.32333333333333,44.7,8,1.3,17.9,6.56166666666667,808.9,87.1,,2176.8,,24.8,LK Emsland
5113,21.2,2.48833333333333,98.1,55.1,45.5,,98,270.9,4.72297136765154,2.79666666666667,12.1,43,8.3,1.24333333333333,2.395,93,76.9,40.5,82,2023,6.8,3.5,12.3,710,44400,20.3,67.6,35.9,5715.5,43.8,11.6,12.4,-3.11,3304,29.5,5,0,16.2,2728,2.51666666666667,3.41166666666667,270.9,3.16666666666667,1.4,44.4,2.25166666666667,4034.8,45.3,-4.2,2819.9,2.06666666666667,26.4,SK Essen
3455,24.9,6.16833333333333,46.8,61.9,17.7,0.51,86.9,69.5,12.7190626271618,6.1875,2.6,27.5,1.9,20.3575,5.94166666666667,96.2,77.8,53.3,82,168,4.4,2.3,6.4,508,22800,25.8,16.4,31.1,1220,43.1,10.8,6,0.38,2695,80.3,4,,7.4,160,5.75166666666667,7.71833333333333,69.5,6.93333333333333,-0.9,41.7,5.51416666666667,972.2,84.9,,2119.7,,27.4,LK Friesland
3456,29.3,6.91333333333333,44.6,59.6,19.1,-0.18,77.9,77.6,14.2777595510064,7.84666666666667,12.3,27.1,2.7,64.9466666666667,6.21833333333333,93.7,78.8,49.5,83.2,283,6.2,4.7,4.7,571,28400,31.4,14.3,25.9,1350.1,42.7,10.4,4.4,0.8,2686,81.6,1,,6.1,137,7.07,9.83833333333333,77.6,7.86666666666667,0.7,18.2,6.71666666666667,959,86.6,,2023.7,,24.9,LK Grafschaft Bentheim
3457,28.9,6.5,42.2,55.5,21.3,0.58,74.2,45.5,14.1143443222091,8.53833333333333,5.7,21.3,6.2,49.8766666666667,5.88833333333333,93.6,77,50.7,81.5,191,8,2.3,7,492,27100,22.6,15,23.5,1346.4,53.9,11.4,6.5,0.8,2622,75.9,1,,7.2,153,7.26166666666667,8.78916666666667,45.5,7.25,1.1,24.2,8.51,1015.2,85.6,,1922.1,,19.5,LK Leer
