districtId,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,Baulandpreise,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,total_population,population_60_plus,average_age,average_household_size,share_female
3459,Osnabrück,4.9,31.0,4.2,304.0,2680.0,24.913333333333302,78.8,83.3,2113.4,82.8,1123.3,631,2.2,66.7,166,62.1,47.7,30.6,47.8,89.7857142857143,350147,37960,41.9,2.5,0.5074040331632143
3460,Vechta,5.9,14.5,3.9,215.0,2675.0,34.2366666666667,79.1,83.1,2137.3,80.3,1009.0,792,6.1,76.5,168,47.7,66.1,26.7,49.6,95.71,132294,11731,39.1,2.7,0.5002721211846343
3461,Wesermarsch,3.8,36.9,7.5,250.0,3264.0,25.588333333333303,76.7,81.2,2510.6,82.8,920.1,696,0.8,48.2,108,58.6,24.6,35.2,50.0,92.94444444444441,90035,11381,43.8,2.2,0.5036041539401344
3462,Wittmund,4.7,27.1,7.2,136.0,2483.0,31.6916666666667,76.7,81.3,1894.7,82.6,801.4,557,2.9,41.9,86,60.1,29.0,24.3,52.0,91.1166666666667,56839,7375,43.6,2.3,0.5134678653741269
4011,KS Bremen,5.9,30.4,10.6,763.0,3331.0,2.12083333333333,77.6,82.7,2651.9,31.8,2878.3,756,5.9,168.5,1695,62.7,73.7,29.7,41.3,77.4,542707,62522,43.2,2.0,0.5146884046087483
4012,KS Bremerhaven,5.9,64.1,15.4,245.0,3041.0,2.49833333333333,74.4,81.2,2558.0,24.1,2499.6,590,8.0,66.4,1174,49.0,97.3,20.6,43.2,73.4,108156,13675,43.8,1.9,0.5125559377195902
5111,KS Düsseldorf,5.8,28.8,9.0,1884.0,3690.0,1.88833333333333,78.6,82.9,3321.5,32.3,4627.2,1250,7.1,633.7,2781,62.7,84.8,28.3,41.0,50.1,586291,63857,42.9,1.9,0.5198851764737988
5112,KS Duisburg,7.0,53.9,13.0,1710.0,3326.0,1.295,76.5,81.5,2808.0,27.8,3354.1,546,1.4,365.8,2085,52.5,93.1,25.7,38.8,60.3,488468,56029,43.2,2.1,0.5131103777524832
5113,KS Essen,6.8,44.4,12.3,2023.0,3304.0,1.24333333333333,76.9,82.0,2819.9,29.5,4034.8,710,8.3,270.9,2728,55.1,98.1,35.9,40.5,54.9,566201,66988,44.1,1.9,0.5218429497651894
5114,KS Krefeld,6.4,47.7,11.0,1401.0,3352.0,1.33,77.4,82.0,2824.7,40.9,2899.3,728,3.3,198.7,1615,68.3,90.6,22.2,43.7,72.4,222247,26688,43.7,2.0,0.5196650573461059
5116,KS Mönchengladbach,6.8,46.7,11.4,1087.0,2950.0,1.27833333333333,76.8,81.9,2451.2,49.3,3057.7,690,4.4,160.7,1507,63.5,84.6,23.1,43.6,74.4,255188,29729,43.3,2.1,0.5150202987601298
5117,KS Mülheim a.d.Ruhr,3.9,37.7,8.1,1834.0,3373.0,6.925,77.8,82.2,2825.4,42.1,3289.7,741,4.7,241.7,1831,53.3,53.9,32.2,44.3,65.1,166865,21482,45.3,2.0,0.5255745662661433
5119,KS Oberhausen,5.6,41.0,11.8,1626.0,3145.0,6.115,76.2,81.4,2506.6,22.0,3574.5,577,2.8,277.2,2715,51.1,69.8,25.5,40.2,62.5,210215,24735,43.9,2.0,0.5143638655662061
5120,KS Remscheid,5.1,63.6,9.1,1274.0,3177.0,9.67916666666667,76.9,81.8,2706.5,54.1,3313.9,762,-1.0,128.1,1463,61.5,96.0,23.1,43.3,68.3,110708,13584,43.9,2.1,0.5139465982584818
5122,KS Solingen,5.3,51.0,8.8,1605.0,2938.0,14.25,78.2,81.8,2450.8,49.9,3600.8,727,6.0,179.5,1751,60.0,73.0,30.0,42.4,69.5,155265,18096,43.5,2.1,0.5212636460245387
5124,KS Wuppertal,5.9,56.9,11.4,1659.0,3191.0,1.445,77.2,82.2,2644.9,48.4,4175.2,690,4.9,179.7,2051,58.8,59.9,31.1,42.9,58.8,342661,39714,43.4,2.0,0.5191253162746855
5154,Kleve,5.6,25.5,6.1,587.0,2748.0,41.4283333333333,78.1,82.6,2129.8,78.8,1487.6,616,5.8,112.7,247,50.2,58.9,25.2,47.0,92.29375,300990,33522,42.5,2.3,0.5074886208844147
5158,Mettmann,4.6,30.6,6.9,1709.0,3291.0,8.86166666666667,78.7,82.9,2931.7,57.0,2939.5,1128,3.1,204.5,1173,56.9,49.8,30.8,44.5,77.85,477777,61133,44.6,2.1,0.5201861956519465
5162,Neuss,3.9,25.3,6.3,1345.0,3263.0,10.6433333333333,79.0,83.1,2885.5,61.0,2471.6,852,4.9,186.0,768,56.0,46.5,23.1,44.7,86.5625,437393,51511,43.5,2.2,0.5163159904250868
5166,Viersen,4.5,29.7,7.2,914.0,2882.0,11.39,78.7,82.2,2352.0,71.9,2039.3,695,2.3,168.0,524,54.2,48.4,22.2,45.8,89.9,296176,34329,43.3,2.3,0.5152747015288207
5170,Wesel,4.6,26.9,7.4,863.0,2894.0,26.2033333333333,78.1,83.0,2262.8,71.5,1921.5,632,1.9,161.9,439,49.9,54.9,23.4,43.7,86.8846153846154,460420,55892,44.0,2.2,0.5152056817688198
5314,KS Bonn,3.9,27.3,7.0,984.0,3621.0,1.4291666666666698,79.6,84.3,3073.2,44.4,4396.3,881,5.9,295.6,2226,68.8,131.1,32.0,42.6,68.4,305765,29767,41.2,2.0,0.527558746095858
5315,KS Köln,5.0,24.6,9.7,1905.0,3506.0,1.52333333333333,78.4,82.7,3036.7,33.7,4237.6,919,8.6,331.6,2584,64.1,69.8,26.8,39.0,59.6,1005775,101182,41.3,1.9,0.5151122268897119
5316,KS Leverkusen,3.7,27.6,8.1,1596.0,3951.0,12.753333333333302,78.8,83.3,3334.5,35.6,3434.3,742,5.8,288.6,2048,62.5,67.8,25.0,41.0,71.9,158984,19408,43.7,2.1,0.5174231369194384
5334,Städteregion Aachen,4.5,31.0,8.9,625.0,3158.0,12.338333333333301,78.6,82.8,2525.4,69.9,2831.3,686,4.9,139.1,775,63.7,73.5,23.5,42.4,85.02,539515,59167,42.2,2.0,0.5038655088366403
5358,Düren,4.2,35.1,8.0,672.0,3110.0,23.84,77.8,82.5,2312.2,77.3,1677.4,631,3.0,123.0,275,63.7,70.3,23.0,46.7,92.4133333333333,258761,29978,42.9,2.3,0.5087204022244465
5362,Erftkreis,4.8,29.3,7.7,1053.0,3074.0,15.295833333333302,78.7,82.6,2612.3,65.9,2399.5,741,5.9,176.8,652,55.7,30.3,24.9,44.9,86.63,451515,52338,43.0,2.2,0.5148201056443308
5366,Euskirchen,4.0,36.1,6.4,369.0,2914.0,43.2666666666667,77.6,82.2,2304.9,85.0,1118.3,615,3.6,106.2,151,60.6,58.1,27.2,49.3,93.8909090909091,187939,21831,43.1,2.3,0.5088140300842294
5370,Heinsberg,5.5,33.6,7.5,765.0,2779.0,22.766666666666698,78.1,82.3,2105.0,75.0,1712.0,568,3.7,108.6,397,57.8,39.9,25.0,48.1,94.0,248161,27600,42.6,2.4,0.5095442071880755
5374,Oberbergischer Kreis,4.0,45.2,6.3,704.0,3142.0,29.635,78.0,82.5,2515.7,78.0,1490.7,734,0.1,105.4,295,51.7,58.1,28.2,46.7,88.8846153846154,273011,30892,42.6,2.3,0.5133895703836109
5378,Rheinisch-Bergischer Kreis,3.7,32.2,6.4,1219.0,3040.0,16.5008333333333,79.8,83.4,2355.9,73.4,2605.8,715,3.6,193.7,639,57.2,41.9,26.4,47.9,87.25,278182,34573,44.0,2.2,0.5169637144028011
5382,Rhein-Sieg-Kreis,4.7,27.6,5.8,764.0,2914.0,18.045833333333302,79.5,83.6,2277.5,73.7,2158.1,687,4.6,170.5,508,56.5,25.9,25.0,47.3,89.74736842105258,578252,66790,42.6,2.3,0.5140129217019569
5512,KS Bottrop,5.2,32.3,8.6,1686.0,3064.0,13.531666666666698,76.8,81.8,2333.6,52.0,2628.8,529,1.5,186.6,1153,51.7,60.7,27.3,41.2,71.6,117311,13108,43.8,2.1,0.5176752393211208
5513,KS Gelsenkirchen,9.3,66.3,14.4,1692.0,3074.0,10.456666666666699,75.8,80.7,2548.2,22.2,3296.4,455,2.9,182.8,2455,53.6,68.0,25.7,38.8,51.5,258766,29514,43.3,2.0,0.5106234976774383
5515,KS Münster (Westf.),4.4,21.2,6.0,639.0,3241.0,1.8316666666666699,80.1,84.4,2719.3,63.5,2976.1,887,16.1,221.3,996,65.2,123.0,35.7,43.5,72.9,289576,25684,40.5,2.0,0.5234722490814155
5554,Borken,4.8,19.3,4.4,475.0,2940.0,42.4366666666667,78.4,83.3,2239.0,81.0,1505.5,683,0.7,109.9,257,54.2,52.5,24.6,44.6,92.78235294117648,363754,36529,40.7,2.5,0.5045992621386981
5558,Coesfeld,3.4,22.3,3.4,575.0,2825.0,21.8266666666667,79.1,83.3,2165.9,84.2,1410.8,640,1.4,139.5,194,59.3,39.6,34.6,46.1,91.6090909090909,215269,22702,42.0,2.4,0.5108817340165096
5562,Recklinghausen,6.0,38.4,11.0,1094.0,2995.0,21.3483333333333,77.3,82.4,2412.8,63.2,2466.0,562,1.3,147.7,806,52.2,80.7,26.4,43.4,76.64,619382,73841,44.1,2.1,0.5156204087299922
5566,Steinfurt,4.6,25.1,4.8,367.0,2839.0,22.7458333333333,79.0,83.7,2247.3,80.0,1364.5,612,2.2,107.4,243,62.7,52.3,28.9,46.0,93.1208333333333,433660,45811,41.6,2.5,0.5074297837015174
5570,Warendorf,3.4,29.4,5.8,462.0,3043.0,25.05,78.8,83.8,2404.8,83.3,1433.0,678,1.2,112.8,207,57.8,56.0,29.6,45.8,89.8461538461538,273477,30488,42.3,2.4,0.5108729436113457
5711,KS Bielefeld,4.5,31.9,9.6,719.0,3137.0,1.20166666666667,78.7,83.5,2578.0,56.4,2986.7,690,2.9,137.7,1274,54.6,120.3,27.0,41.4,70.2,326870,35245,42.1,2.1,0.5187352770214458
